12 13 29541 896 20
63 85 40.131729
89 66 12.397326
57 26 38.698444
63 41 1.515894
42 11 24.967012
72 60 17.160158
19 21 44.696624
67 52 13.548825
21 55 20.632894
12 47 25.284947
8 53 41.519767
52 75 8.232466
0 11 20.017710 27.459000
0 10 18.089258 83.408213
0 8 42.312697 66.252234
1 11 37.093338 38.662297
1 8 22.548026 105.621618
1 5 3.285244 33.335866
1 4 32.701104 133.917397
1 3 17.780439 61.711384
2 4 13.461239 22.569315
3 7 43.328115 20.811494
6 10 27.600741 51.337813
7 9 0.825577 104.758631
9 10 39.540633 13.666611
