14 16 4606 726 20
12 12 2.625267
25 65 26.117614
32 54 8.249788
42 97 39.985873
71 86 24.617246
83 71 20.417755
52 2 34.012079
63 71 25.434026
35 97 21.502693
54 84 35.620917
85 90 34.151186
20 37 48.337181
87 86 45.445804
18 36 21.374036
0 13 16.472768 43.722727
0 2 36.636516 75.598023
1 9 26.476874 35.662231
1 4 40.282492 84.788683
2 11 19.694707 31.793834
2 10 6.413222 104.933057
2 3 6.075667 85.988012
4 12 6.720217 29.283837
4 5 44.137257 31.726084
5 6 40.829486 125.323536
7 12 7.455077 47.616962
7 11 18.135209 67.148878
7 9 32.749933 26.211836
8 12 17.040289 57.143546
8 10 49.201930 81.877912
10 12 19.456438 7.908018
