13 17 48578 622 20
93 57 20.420237
41 71 49.994969
57 70 43.228453
91 58 32.451356
54 58 45.461983
38 57 2.067428
91 9 8.664022
79 51 23.428207
5 54 36.888882
16 79 15.138844
49 93 32.357653
37 14 7.435966
82 11 7.786376
0 12 36.724696 85.869065
0 5 36.183704 97.525860
0 3 49.199740 3.626717
0 2 29.941984 64.767954
0 1 41.295730 74.743298
1 10 2.349679 33.719282
1 3 7.754853 54.562015
3 7 1.976091 16.214190
3 6 38.776050 88.857843
4 9 40.666238 62.864029
4 7 4.847684 42.579214
5 7 34.071931 71.377383
6 12 9.556428 11.710980
7 10 28.650549 73.251359
8 9 28.396779 50.208987
9 10 32.690646 61.969910
11 12 25.096798 58.739426
