13 17 20790 342 20
93 57 6.079835
41 71 32.097962
57 70 10.283449
91 58 31.615191
54 58 5.722683
38 57 26.451627
91 9 26.223264
79 51 8.380519
5 54 32.777169
16 79 37.932421
49 93 34.895299
37 14 17.990665
82 11 12.655246
0 12 45.787232 84.705058
0 5 13.856222 92.071721
0 3 1.023793 4.385334
0 2 20.221462 57.563751
0 1 19.688960 61.836948
1 10 0.125519 28.366983
1 3 36.373666 77.773218
3 7 2.743336 24.353906
3 6 31.869588 60.403366
4 9 43.734050 51.078026
4 7 40.438362 47.848640
5 7 18.604665 82.423174
6 12 7.837252 12.291796
7 10 4.594046 53.040390
8 9 19.372499 50.656084
9 10 32.278584 48.213568
11 12 0.950856 58.773933
