14 16 28594 1665 20
12 12 17.499966
25 65 32.971909
32 54 5.740328
42 97 9.847456
71 86 16.607339
83 71 48.114192
52 2 25.085412
63 71 19.522865
35 97 9.895424
54 84 28.366722
85 90 48.486018
20 37 25.092729
87 86 18.871774
18 36 2.465839
0 13 9.569993 40.667708
0 2 41.981552 76.013096
1 9 23.736585 43.592426
1 4 44.450792 98.616839
2 11 38.211740 38.226273
2 10 40.631040 74.114912
2 3 1.803178 58.046936
4 12 48.526353 17.825983
4 5 23.206165 22.811682
5 6 15.116765 123.296931
7 12 48.105600 47.011577
7 11 8.139033 69.323741
7 9 23.126381 21.385998
8 12 16.114483 91.956879
8 10 5.377529 99.176987
10 12 30.413843 6.134011
