12 13 41421 588 20
63 85 39.550978
89 66 42.592538
57 26 39.789687
63 41 45.506955
42 11 13.873190
72 60 43.259167
19 21 17.262907
67 52 36.734497
21 55 21.347584
12 47 48.733559
8 53 23.592425
52 75 44.677207
0 11 14.734747 15.570846
0 10 9.526595 116.529701
0 8 15.004288 81.702108
1 11 27.913421 41.192477
1 8 23.824998 126.037829
1 5 28.380175 25.402489
1 4 49.660813 110.306861
1 3 1.603149 69.159226
2 4 0.756182 33.979126
3 7 19.640545 19.535992
6 10 23.243307 63.174397
7 9 7.221910 71.957766
9 10 32.410407 9.591123
