13 17 10844 341 20
93 57 31.923550
41 71 31.482984
57 70 15.592443
91 58 19.815681
54 58 27.544370
38 57 2.019878
91 9 0.713927
79 51 9.364686
5 54 46.397794
16 79 27.824454
49 93 41.254258
37 14 16.766560
82 11 33.128819
0 12 46.105169 52.940376
0 5 20.595601 84.286595
0 3 16.972481 3.812867
0 2 24.805401 55.522363
0 1 19.760873 58.863665
1 10 49.772885 45.579871
1 3 2.975391 72.758927
3 7 41.345145 16.890535
3 6 5.067104 72.115539
4 9 5.070269 63.621533
4 7 43.084376 36.688571
5 7 22.679425 68.465558
6 12 41.979326 17.295552
7 10 21.622757 71.306965
8 9 35.843779 45.467178
9 10 39.199554 39.253482
11 12 31.375753 73.917770
