14 16 14756 2702 20
12 12 20.834295
25 65 2.304670
32 54 44.880727
42 97 43.928448
71 86 48.202890
83 71 25.543718
52 2 47.343835
63 71 5.863686
35 97 7.704208
54 84 12.031025
85 90 49.913425
20 37 12.127631
87 86 45.742961
18 36 2.433181
0 13 18.146153 47.404168
0 2 14.953665 79.397396
1 9 39.771021 45.491271
1 4 45.910833 66.370618
2 11 3.891897 30.923367
2 10 23.595788 87.360833
2 3 16.797223 76.837875
4 12 14.695160 29.760677
4 5 13.836411 26.392368
5 6 13.577316 101.362571
7 12 15.202719 32.697155
7 11 5.108694 97.708524
7 9 46.825242 22.473171
8 12 20.979830 71.370500
8 10 12.882680 59.527808
10 12 4.762869 6.566259
