12 13 22391 572 20
63 85 49.900086
89 66 46.467449
57 26 36.144492
63 41 35.140145
42 11 8.939302
72 60 38.441517
19 21 35.120375
67 52 48.862447
21 55 38.700059
12 47 7.708014
8 53 27.327765
52 75 39.983184
0 11 31.269340 21.667148
0 10 29.934573 116.668771
0 8 31.061222 60.275172
1 11 32.737500 39.906532
1 8 33.845495 116.713184
1 5 10.351001 28.723960
1 4 47.439531 103.792902
1 3 47.782641 46.296632
2 4 8.443135 27.108109
3 7 13.794511 18.797139
6 10 16.441889 37.161121
7 9 13.849887 109.276899
9 10 34.055031 7.915397
