12 13 40488 646 20
63 85 44.990211
89 66 10.242849
57 26 20.036238
63 41 24.390295
42 11 38.924635
72 60 24.421704
19 21 8.569760
67 52 29.009544
21 55 12.101322
12 47 33.914577
8 53 29.393150
52 75 40.919741
0 11 9.002147 24.728973
0 10 8.658645 114.114886
0 8 35.312354 61.186323
1 11 36.604791 69.816757
1 8 25.583198 119.909296
1 5 20.443981 35.889524
1 4 8.415388 100.588840
1 3 28.559244 68.513529
2 4 46.996439 39.678724
3 7 38.513859 13.588320
6 10 28.082666 38.737088
7 9 46.163924 69.479909
9 10 21.473914 7.572288
