14 16 45923 541 20
12 12 9.179471
25 65 48.843938
32 54 19.304680
42 97 48.301577
71 86 23.321311
83 71 44.719035
52 2 37.679702
63 71 26.864586
35 97 9.670396
54 84 21.411735
85 90 38.585607
20 37 36.008474
87 86 36.280919
18 36 40.021508
0 13 37.419038 40.494416
0 2 41.871070 84.891036
1 9 6.998682 49.461611
1 4 25.331110 81.690807
2 11 43.853117 31.667041
2 10 37.753837 87.275951
2 3 12.220030 55.541122
4 12 29.912253 16.287474
4 5 10.077826 36.927280
5 6 15.422551 119.148513
7 12 2.077502 33.045012
7 11 46.059106 65.936686
7 9 19.811982 24.963680
8 12 17.527695 71.722488
8 10 3.751760 56.364842
10 12 37.664944 5.147357
