13 17 1405 305 20
93 57 32.931811
41 71 12.892826
57 70 42.112331
91 58 10.504791
54 58 45.817811
38 57 14.682148
91 9 28.230146
79 51 12.492730
5 54 29.220301
16 79 43.885110
49 93 31.260182
37 14 3.068665
82 11 15.423230
0 12 37.617779 67.028195
0 5 46.446786 84.334186
0 3 16.940700 4.397683
0 2 33.946817 53.301046
0 1 0.201483 61.985759
1 10 45.831521 39.614388
1 3 24.536707 86.364235
3 7 9.386547 25.073128
3 6 36.661173 68.044509
4 9 32.325999 80.162960
4 7 2.823150 40.901582
5 7 43.455652 64.760430
6 12 40.636540 14.945489
7 10 24.938405 75.021861
8 9 25.744617 39.274304
9 10 42.755643 64.783684
11 12 17.029077 57.152740
