12 13 20511 357 20
63 85 47.496527
89 66 40.211970
57 26 9.431272
63 41 40.729061
42 11 22.144530
72 60 12.243934
19 21 40.054672
67 52 48.028369
21 55 44.823829
12 47 38.730591
8 53 45.912584
52 75 4.279010
0 11 33.309825 18.937920
0 10 31.892182 116.476012
0 8 17.371097 103.178785
1 11 42.792232 72.666153
1 8 48.314416 132.423507
1 5 27.938447 35.065010
1 4 8.493770 97.251456
1 3 14.060249 43.861260
2 4 6.716216 26.252232
3 7 9.373630 13.427142
6 10 16.789181 65.596826
7 9 19.072716 55.340232
9 10 40.157364 11.398318
