14 16 2378 638 20
12 12 47.350259
25 65 9.882923
32 54 8.211104
42 97 35.762221
71 86 10.788876
83 71 34.797570
52 2 18.809655
63 71 43.052323
35 97 28.457414
54 84 30.129435
85 90 41.684460
20 37 13.631319
87 86 27.229772
18 36 12.913477
0 13 16.933462 42.900610
0 2 41.982900 58.384783
1 9 28.386139 42.030309
1 4 39.334882 91.429330
2 11 22.231865 28.525909
2 10 20.649793 124.405962
2 3 14.313659 85.391179
4 12 28.969368 19.029675
4 5 6.817992 36.155411
5 6 2.319880 134.422681
7 12 49.641167 52.403999
7 11 11.389868 95.511878
7 9 15.574863 29.312255
8 12 34.377950 97.286353
8 10 18.749074 79.978636
10 12 15.913901 8.702010
