13 17 44325 927 20
93 57 21.382013
41 71 14.096150
57 70 15.468410
91 58 35.902977
54 58 2.793699
38 57 19.372301
91 9 0.248448
79 51 11.067030
5 54 39.667571
16 79 9.619850
49 93 31.700996
37 14 4.939020
82 11 8.574345
0 12 21.928496 93.676676
0 5 34.152220 84.859980
0 3 8.919718 3.600763
0 2 36.936062 72.426809
0 1 1.474674 72.728007
1 10 11.849890 40.008680
1 3 10.514564 57.585301
3 7 28.648943 14.923719
3 6 23.972285 96.387267
4 9 12.450503 43.443467
4 7 35.933933 46.440310
5 7 8.812996 54.070087
6 12 26.311232 15.891246
7 10 45.802232 101.659425
8 9 3.419587 31.689760
9 10 7.042617 38.984631
11 12 31.522013 67.963804
