50 141
86 29 92.375873
53 46 61.452715
84 83 74.651751
96 97 99.442334
42 48 73.129035
4 6 93.390196
29 78 59.892216
50 87 97.649724
95 64 67.358260
35 58 62.767741
7 89 99.931294
85 50 72.867670
44 8 67.597258
31 13 90.355805
59 40 54.305704
54 31 50.750278
35 68 71.587703
0 98 52.149354
3 6 70.955291
19 96 61.382476
11 66 66.750535
27 72 74.692861
83 91 69.062253
17 1 98.310179
2 31 62.350461
95 23 70.610392
98 32 77.300027
58 28 98.611451
66 32 90.775561
58 71 77.562889
30 92 55.542925
52 36 83.151435
33 50 89.015604
40 57 80.194675
16 28 82.593768
85 80 62.144639
2 14 73.584872
63 50 92.485984
48 55 59.794363
44 6 90.943132
11 69 55.253725
88 61 59.725656
1 52 63.810801
45 6 72.850983
15 54 50.081462
14 20 68.116505
10 70 73.601261
2 63 71.669165
62 69 70.265859
43 5 94.556552
0 45 83.051641 72.560320
0 41 87.016395 32.062439
0 30 69.249413 84.291162
0 26 52.113895 12.369317
0 11 85.326574 21.023796
1 48 81.599874 24.698178
1 38 72.724286 10.295630
1 33 62.626601 17.029386
1 31 80.211325 10.049876
1 27 63.499848 18.681542
1 26 90.189490 47.127487
1 13 85.754250 39.661064
1 12 96.651282 39.051248
2 43 79.205094 86.313383
2 35 65.948926 3.162278
2 29 79.245050 28.635642
2 26 91.349733 52.886671
2 22 89.533798 8.062258
2 11 71.731034 33.015148
2 8 51.144096 21.954498
3 35 80.476929 20.248457
4 48 76.984759 29.000000
4 40 60.869752 37.443290
4 33 94.287731 9.219544
4 32 99.835742 9.219544
4 31 60.951213 15.620499
4 10 62.404236 53.907328
4 6 73.437003 32.695565
5 34 82.620378 25.059928
5 33 82.670095 62.425956
5 18 67.993555 1.000000
6 40 65.672020 20.124612
6 30 69.686490 14.035669
6 24 87.242968 54.203321
6 21 67.785914 6.324555
6 10 55.013065 24.596748
6 9 68.842843 20.880613
6 7 90.510201 22.847319
7 38 67.639666 32.062439
7 35 99.054168 35.693137
7 20 54.010048 44.294469
8 41 57.829156 7.615773
8 37 84.808418 34.928498
9 46 50.661330 27.730849
9 33 87.034251 5.099020
9 32 50.757344 8.246211
9 31 79.906381 27.802878
9 30 78.383984 34.365681
9 26 90.291142 68.154237
9 18 51.637415 61.057350
9 10 79.528079 41.773197
10 47 70.768071 26.476405
10 43 78.622174 91.285267
10 30 90.397831 23.194827
11 29 65.055802 34.205263
11 28 78.457916 26.172505
11 15 51.349044 36.359318
12 43 77.460037 2.236068
12 13 51.894919 13.928388
13 39 83.969423 14.764823
13 37 60.130133 48.918299
13 31 69.888474 31.144823
13 25 99.641442 64.776539
13 24 79.816623 34.132096
13 21 57.131443 59.135438
13 20 67.427356 56.648036
13 18 84.829688 28.861739
13 15 75.974285 29.206164
14 37 57.937557 10.770330
14 28 52.469354 10.630146
14 27 75.028453 12.041595
14 22 61.947605 56.364883
14 16 60.298510 36.878178
15 48 59.836871 38.832976
15 46 62.608935 58.796258
15 39 97.332760 26.925824
15 38 60.594216 24.738634
15 37 92.515316 21.023796
15 31 75.716744 5.385165
15 27 50.885358 5.000000
15 26 94.152731 44.011362
16 38 55.244823 18.384776
16 35 71.653429 51.419841
16 33 72.774904 12.083046
16 19 95.642654 32.249031
16 17 86.709230 46.097722
17 46 51.232820 29.732137
17 21 96.991698 37.483330
17 19 64.169268 19.104973
18 23 53.127739 14.866069
19 38 80.961121 50.219518
19 33 74.299400 44.294469
19 32 73.016213 48.083261
19 29 80.602563 46.324939
19 21 54.116023 25.298221
20 46 80.147656 4.123106
20 44 98.029919 12.649111
20 40 88.945711 3.000000
20 31 56.121941 50.803543
20 21 55.967476 17.088007
21 48 91.415064 35.128336
21 34 81.150394 45.354162
22 47 67.915081 85.702975
22 35 51.713574 11.180340
22 29 90.987265 32.015621
23 39 80.524017 27.459060
23 36 99.046335 19.849433
23 33 51.581481 60.539243
23 31 73.039333 49.497475
24 40 74.763079 39.051248
24 33 52.466839 46.043458
24 31 67.192064 50.249378
25 33 80.007902 64.660653
28 44 74.120268 55.542776
29 48 89.966968 4.472136
29 41 75.650556 31.622777
30 46 60.829498 29.732137
30 31 91.199788 60.166436
32 47 72.642254 33.615473
32 46 74.998765 30.479501
32 44 94.327527 18.439089
32 43 53.603375 45.607017
32 34 99.298166 27.802878
32 33 67.343740 9.899495
33 45 84.205938 45.221676
33 38 53.414189 8.246211
35 48 97.491396 25.495098
36 47 82.235857 49.000000
37 38 92.359900 15.811388
38 49 53.613337 50.249378
38 48 88.203333 19.798990
39 49 83.774964 1.414214
39 44 84.763731 56.080300
39 43 56.118415 1.000000
40 47 85.488539 10.816654
40 46 75.750996 1.414214
40 42 86.642432 19.723083
41 48 84.534874 27.202941
44 49 77.332477 56.435804
46 49 59.681764 72.897188
48 49 59.297953 66.760767
